xref,seg_layer,nverts,closed,wkt
SEGMENTATION - MTA,K.30,3,0,"LINESTRING(6338.5600 56386.0523, 6351.6601 56383.7435, 6410.3356 56372.4703)"
SEGMENTATION - MTA,K.29,2,0,"LINESTRING(6330.5111 56387.4204, 6333.4729 56386.9429)"
SEGMENTATION - MTA,K.31,2,0,"LINESTRING(6424.9748 56369.4188, 6483.3238 56356.3105)"
SEGMENTATION - MTA,K.32,2,0,"LINESTRING(6496.3788 56353.0979, 6499.2928 56352.3846)"
SEGMENTATION - MTA,K.33,2,0,"LINESTRING(6512.3594 56349.1863, 6555.7280 56337.8479)"
SEGMENTATION - MTA,K.34,2,0,"LINESTRING(6568.6984 56334.2769, 6571.5883 56333.4815)"
SEGMENTATION - MTA,K.35,2,0,"LINESTRING(6584.5258 56329.8273, 6627.5586 56317.1156)"
SEGMENTATION - MTA,K.36,2,0,"LINESTRING(6634.7291 56314.9181, 6663.2506 56305.8998)"
SEGMENTATION - MTA,K.37,2,0,"LINESTRING(6669.0116 56304.0294, 6671.8605 56303.0984)"
SEGMENTATION - MTA,K.38,2,0,"LINESTRING(6677.4358 56301.2014, 6719.3989 56286.9884)"
SEGMENTATION - MTA,K5.1,3,0,"LINESTRING(6677.9271 56305.7820, 6724.0303 56322.9286, 6741.2080 56344.3242)"
SEGMENTATION - MTA,K.39,3,0,"LINESTRING(6726.3475 56284.5454, 6740.2423 56279.5696, 6749.7030 56274.9235)"
SEGMENTATION - MTA,K5.2,2,0,"LINESTRING(6744.7422 56341.6854, 6751.5420 56279.5120)"
SEGMENTATION - MTA,K5.3,2,0,"LINESTRING(6761.5705 56369.7373, 6745.4781 56349.6931)"
SEGMENTATION - MTA,K.40,2,0,"LINESTRING(6753.9914 56271.8524, 6777.5430 56252.9445)"
SEGMENTATION - MTA,K.41,2,0,"LINESTRING(6783.3914 56248.2493, 6800.7785 56234.2897)"
SEGMENTATION - MTA,K.42,2,0,"LINESTRING(6811.6211 56225.5857, 6833.3051 56208.1762)"
SEGMENTATION - MTA,K.43,2,0,"LINESTRING(6844.1478 56199.4724, 6895.9292 56157.9009)"
SEGMENTATION - MTA,K.44,2,0,"LINESTRING(6900.6139 56154.1398, 6902.9533 56152.2617)"
SEGMENTATION - MTA,K.45,2,0,"LINESTRING(6912.9175 56144.2622, 6968.6169 56099.5452)"
SEGMENTATION - MTA,K.46,2,0,"LINESTRING(6978.7949 56091.3740, 6981.1639 56089.4720)"
SEGMENTATION - MTA,K.47,2,0,"LINESTRING(6985.5092 56085.9836, 7061.4222 56025.0387)"
SEGMENTATION - MTA,K.48,2,0,"LINESTRING(7073.0479 56015.7047, 7131.1778 55969.0369)"
SEGMENTATION - MTA,K.49,2,0,"LINESTRING(7142.8037 55959.7033, 7212.7722 55903.5306)"
SEGMENTATION - MTA,L1.12,2,0,"LINESTRING(6626.8843 55808.6345, 6624.4566 55810.5836)"
SEGMENTATION - MTA,L1.11,2,0,"LINESTRING(6620.6524 55813.6857, 6559.9416 55862.4287)"
SEGMENTATION - MTA,L1.10,2,0,"LINESTRING(6550.3789 55870.1034, 6519.1872 55895.1450)"
SEGMENTATION - MTA,L1.9,3,0,"LINESTRING(6513.9887 55899.3187, 6503.5913 55907.6657, 6497.9601 55912.0765)"
SEGMENTATION - MTA,L1.8,2,0,"LINESTRING(6492.2247 55916.3509, 6455.8119 55938.9998)"
SEGMENTATION - MTA,L1.7,2,0,"LINESTRING(6449.4388 55942.2566, 6423.2425 55953.7177)"
SEGMENTATION - MTA,L1.6,2,0,"LINESTRING(6415.1487 55956.7711, 6417.9409 55955.7678)"
SEGMENTATION - MTA,L3.13,3,0,"LINESTRING(6411.4189 55957.7204, 6354.2053 55898.2599, 6356.1190 55891.7031)"
SEGMENTATION - MTA,L3.2,2,0,"LINESTRING(6391.3535 55793.8631, 6437.6921 55738.2285)"
SEGMENTATION - MTA,L3.4,2,0,"LINESTRING(6519.3779 55672.4966, 6517.0385 55674.3748)"
SEGMENTATION - MTA,L3.5,2,0,"LINESTRING(6580.8724 55617.9976, 6526.5655 55661.5967)"
SEGMENTATION - MTA,L3.6,2,0,"LINESTRING(6590.6912 55610.1148, 6592.8427 55608.3873)"
SEGMENTATION - MTA,L3.7,2,0,"LINESTRING(6597.5016 55604.5195, 6671.0828 55545.4434)"
SEGMENTATION - MTA,L3.8,2,0,"LINESTRING(6682.0092 55536.8023, 6747.1836 55484.4784)"
SEGMENTATION - MTA,L3.9,2,0,"LINESTRING(6758.0460 55475.7578, 6825.7240 55421.4241)"
SEGMENTATION - MTA,L2.8,2,0,"LINESTRING(6819.0659 55551.8019, 6886.7628 55497.4539)"
SEGMENTATION - MTA,L2.7,2,0,"LINESTRING(6742.9857 55612.8815, 6808.1976 55560.5281)"
SEGMENTATION - MTA,L2.6,2,0,"LINESTRING(6658.6210 55680.6123, 6732.1156 55621.6055)"
SEGMENTATION - MTA,L2.5,2,0,"LINESTRING(6653.9232 55684.3839, 6651.5838 55686.2621)"
SEGMENTATION - MTA,L2.4,2,0,"LINESTRING(6587.6039 55737.6262, 6641.9097 55694.0256)"
SEGMENTATION - MTA,L2.3,2,0,"LINESTRING(6575.7663 55747.1303, 6577.7495 55745.5381)"
SEGMENTATION - MTA,L2.2,2,0,"LINESTRING(6570.9539 55750.9938, 6510.1835 55799.7845)"
SEGMENTATION - MTA,L2.1,3,0,"LINESTRING(6430.8496 55861.2165, 6367.0401 55887.4743, 6360.2305 55889.0393)"
SEGMENTATION - MTA,L4.4,2,0,"LINESTRING(6289.8264 55832.6209, 6290.5850 55830.1250)"
SEGMENTATION - MTA,L4.5,3,0,"LINESTRING(6291.7750 55826.1845, 6295.0337 55815.4976, 6305.1391 55787.7904)"
SEGMENTATION - MTA,L4.6,2,0,"LINESTRING(6308.0905 55781.0298, 6333.2963 55736.0344)"
SEGMENTATION - MTA,L4.7,2,0,"LINESTRING(6337.5200 55729.9867, 6376.4147 55685.7280)"
SEGMENTATION - MTA,L4.8,2,0,"LINESTRING(6381.8733 55680.7659, 6387.4499 55675.9377)"
SEGMENTATION - MTA,L4.10,2,0,"LINESTRING(6438.6865 55634.6862, 6461.4577 55616.4052)"
SEGMENTATION - MTA,L4.11,2,0,"LINESTRING(6465.9828 55612.7722, 6468.3222 55610.8941)"
SEGMENTATION - MTA,L4.2,2,0,"LINESTRING(6284.1292 55851.9664, 6267.4029 55913.6507)"
SEGMENTATION - MTA,L4.1,2,0,"LINESTRING(6266.0337 55919.0884, 6265.3016 55921.9946)"
SEGMENTATION - MTA,L1.1,2,0,"LINESTRING(6314.8504 55980.1168, 6264.4778 55927.3424)"
SEGMENTATION - MTA,L4.3,2,0,"LINESTRING(6284.2834 55837.1933, 6282.2707 55844.0216)"
SEGMENTATION - MTA,L1.2,2,0,"LINESTRING(6328.7974 55977.8046, 6321.6914 55979.2471)"
SEGMENTATION - MTA,L1.3,3,0,"LINESTRING(6397.9663 55962.0941, 6385.3831 55965.3430, 6335.8873 55976.3384)"
SEGMENTATION - MTA,L1.4,2,0,"LINESTRING(6411.6374 55962.1632, 6405.3588 55964.1164)"
SEGMENTATION - MTA,D4.16,2,0,"LINESTRING(6153.5889 55233.5951, 6151.7108 55231.2558)"
SEGMENTATION - MTA,649.2,2,0,"LINESTRING(5793.7239 57071.4059, 5796.2827 56989.8160)"
SEGMENTATION - MTA,649.3,2,0,"LINESTRING(5796.7513 56975.0307, 5800.9686 56841.9686)"
SEGMENTATION - MTA,649.1,2,0,"LINESTRING(5882.1883 56982.0264, 5801.3503 56977.1891)"
SEGMENTATION - MTA,648.1,4,0,"LINESTRING(5937.3752 56930.0190, 5927.7175 56917.9894, 5921.4648 56905.0399, 5903.7278 56826.9018)"
SEGMENTATION - MTA,647.1,2,0,"LINESTRING(6054.9177 56796.1610, 5941.1688 56760.3354)"
SEGMENTATION - MTA,646.2,3,0,"LINESTRING(5960.5605 56689.2163, 6062.8141 56750.7365, 6068.1752 56753.2331)"
SEGMENTATION - MTA,646.3,2,0,"LINESTRING(5964.2301 56682.1299, 6079.2779 56713.9065)"
SEGMENTATION - MTA,646.1,2,0,"LINESTRING(5997.3904 56668.7245, 6084.9721 56692.9148)"
SEGMENTATION - MTA,645.1,2,0,"LINESTRING(5984.0913 56604.5984, 6100.1982 56632.2560)"
SEGMENTATION - MTA,644.2,4,0,"LINESTRING(5996.6323 56530.1651, 6077.5135 56573.5684, 6084.9238 56576.2876, 6111.5438 56582.0199)"
SEGMENTATION - MTA,644.3,2,0,"LINESTRING(6001.1778 56526.4085, 6118.1962 56549.9120)"
SEGMENTATION - MTA,644.1,2,0,"LINESTRING(6033.8063 56511.2292, 6123.3374 56522.7888)"
SEGMENTATION - MTA,643.2,4,0,"LINESTRING(6028.8663 56437.9407, 6099.5198 56496.0812, 6109.5077 56501.2802, 6126.4898 56506.1110)"
SEGMENTATION - MTA,643.3,2,0,"LINESTRING(6029.4161 56426.3509, 6139.7293 56477.6787)"
SEGMENTATION - MTA,643.1,4,0,"LINESTRING(6069.2321 56422.8180, 6132.1923 56452.1129, 6142.3207 56459.5773, 6150.2916 56468.3444)"
SEGMENTATION - MTA,642.2,4,0,"LINESTRING(6099.2454 56345.3869, 6136.3592 56425.7952, 6141.7363 56433.9113, 6162.6297 56456.8919)"
SEGMENTATION - MTA,642.3,2,0,"LINESTRING(6106.0296 56336.3562, 6191.6387 56430.5175)"
SEGMENTATION - MTA,642.1,2,0,"LINESTRING(6142.3704 56348.8265, 6205.3271 56418.0725)"
SEGMENTATION - MTA,641.2,4,0,"LINESTRING(6208.5056 56284.4068, 6209.8901 56366.1217, 6215.9795 56384.3630, 6226.9102 56399.4327)"
SEGMENTATION - MTA,641.3,2,0,"LINESTRING(6217.3940 56275.3532, 6254.9579 56387.7943)"
SEGMENTATION - MTA,641.1,2,0,"LINESTRING(6246.7860 56303.3507, 6273.5486 56383.4799)"
SEGMENTATION - MTA,640.1,2,0,"LINESTRING(6310.0040 56256.6659, 6330.1813 56374.3038)"
SEGMENTATION - MTA,639.1,2,0,"LINESTRING(6388.6468 56241.8026, 6413.0023 56358.6468)"
SEGMENTATION - MTA,638.1,2,0,"LINESTRING(6466.7102 56224.1470, 6495.2130 56340.0492)"
SEGMENTATION - MTA,637.1,2,0,"LINESTRING(6539.3789 56205.0523, 6571.9936 56319.8688)"
SEGMENTATION - MTA,636.1,2,0,"LINESTRING(6628.0947 56178.5437, 6664.6635 56291.7670)"
