sheet,source_layer,source_xref,approx_geometry,on_sheet_length_m,wkt_zia_local_grid_m
LOC-03,CV-NEW SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,13.843,"LINESTRING(5850.1042 54705.1794, 5852.3430 54705.2722, 5863.0196 54700.7322)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,29.132,"LINESTRING(5833.8450 54680.0940, 5849.4321 54704.7052)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,29.788,"LINESTRING(5827.9881 54684.7579, 5832.1695 54686.0624, 5849.4321 54704.7052)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,14.767,"LINESTRING(5810.9845 54709.6758, 5824.0555 54716.5467)"
LOC-03,CV_DUCT CROSSING 6x110mm dia,X_CV_PITS & DUCTS LAYOUT,0,57.776,"LINESTRING(5853.2767 54701.1486, 5816.7218 54656.4071)"
LOC-03,CV_GRND DUCT,X_CV_PITS & DUCTS LAYOUT,0,1.35,"LINESTRING(5848.1185 54711.5327, 5847.0172 54710.7518)"
LOC-03,CV_GRND DUCT,X_CV_PITS & DUCTS LAYOUT,0,1.034,"LINESTRING(5808.6478 54659.5892, 5809.1140 54660.5125)"
LOC-03,CV_INNER DUCT 4x110mm dia,X_CV_PITS & DUCTS LAYOUT,0,66.551,"LINESTRING(5903.7540 54656.7085, 5886.6318 54670.4683, 5876.0707 54679.5318, 5864.0493 54690.5170, 5853.5961 54700.3966)"
LOC-03,CV_OUTER DUCT 4x110mm dia,X_CV_PITS & DUCTS LAYOUT,0,65.318,"LINESTRING(5903.7540 54658.6738, 5877.3638 54680.0216, 5876.8004 54680.5091, 5854.4021 54701.4013)"
LOC-03,CV_STH DUCT 6x110mm dia,X_CV_PITS & DUCTS LAYOUT,0,30.408,"LINESTRING(5834.0412 54644.1917, 5833.4646 54644.6555, 5817.7375 54655.5916, 5815.7062 54657.2225, 5808.6478 54660.7859)"
LOC-03,CV_INNER DUCT 4x110mm dia,X_CV_PITS & DUCTS LAYOUT,0,17.639,"LINESTRING(5841.5429 54716.5467, 5849.4321 54704.7052, 5851.6039 54702.0763)"
LOC-03,CV_OUTER DUCT 4x110mm dia,X_CV_PITS & DUCTS LAYOUT,0,16.383,"LINESTRING(5843.1197 54716.5467, 5851.3858 54704.2565, 5852.3701 54703.0314)"
